gap_id,gap_group,name,missing_elements_and_limitations,type_of_gap,priority
3.1,GAP 3,Material traceability & reuse workflows,"Does not define construction-specific component identifiers, provenance chains, or handover protocols for components crossing organisational boundaries. REINCARNATE CP-IM uses JSON+REST; no normative counterpart exists.",Lack of data structure,High
3.2,GAP 3 ,Material traceability & reuse workflows,"No current ISO or CEN standard defines machine-readable traceability data for CDW fractions (concrete, brick, timber, glass) compatible with digital delivery tickets and CP-IM JSON. EN 50625 / ISO 15270 cover material codes only — full traceability chain is unstandardised.",Missing standard,High
3.3,GAP 3,Material traceability & reuse workflows,IDM provides methodology for linking business processes to information delivery in BIM. No reuse-specific delivery specification exists. D5.3's gate-based process model is effectively a proto-IDM for reuse that should be developed into a normative specification.,Missing standard,Medium
3.4,GAP 3 ,Material traceability & reuse workflows,"No standard addresses ownership, liability, warranty, or guarantee framework for secondary/reclaimed construction materials crossing organisational boundaries.",Missing standard,High
3.5,GAP 3 ,Material traceability & reuse workflows,"ISO/AWI 59014 is an Active Work Item that will directly address secondary materials traceability — the core of REINCARNATE GAP 3.2 and GAP 3.4. At AWI stage, no content yet available. Critical opportunity: REINCARNATE evidence (CDW flows, CP-IM provenance fields, demo site data) can directly inform this standard. No construction-specific scope confirmed yet — there is a risk this becomes generic/non-construction-focused without sector input.",No relevant content yet (AWI stage) — new standard,High
4.1,GAP 4 ,BIM fragmentation & interoperability,"IFC is the backbone for BIM exchange across REINCARNATE. Revision extends infrastructure coverage but lacks standardised property sets for reuse classification, disassembly sequences, and circular potential. Extensions are project-specific and not normalised.",Lack of interoperability,High
4.2,GAP 4 ,BIM fragmentation & interoperability,"ISO 19650 is the reference standard for CDE and information management. No part addresses reuse-specific workflows, component lifecycle tracking across ownership changes, or circular handover protocols. Certification cost is a cited barrier.",Standard scope insufficient — reuse workflow absent,High
4.3,GAP 4 ,BIM fragmentation & interoperability,"Will detail CDE as collaborative BIM workflow, including linking to Asset Management Systems and Open API for CDE (TC442 WG2). Does not address reuse-specific data storage or secondary material API profiles. CP-IM architecture extends beyond this TR.",Published TR — scope confirmed; reuse-specific API profiles still absent,Low
4.4,GAP 4 ,BIM fragmentation & interoperability,"Provides recommendations for BIM object library format and content. Does not define representation of reclaimed or upgraded components, or reuse-relevant properties (condition, origin, residual life). 3L's URRBC ontology is a reuse library extension with no normative standard to align to.",Lack of data structure,Low
4.5,GAP 4 ,BIM fragmentation & interoperability,No current standard defines open API profiles or JSON data-exchange formats for circular component information management platforms (CP-IM equivalents). D5.3 Section 7.4 proposes submitting JSON templates and OpenAPI bundles to buildingSMART and CEN/TC 442.,Missing standard,High
4.6,GAP 4 ,BIM fragmentation & interoperability,"Confirmed scope: manufacturer-to-designer data exchange for MEP building services equipment only. Not applicable to structural/envelope components (concrete, timber, brick, glass). Relevant only as a structural reference for how product catalogues could be extended.",Existing standard not applicable,Low
5.1,GAP 5,Circularity in procurement & value chains,"Provides guidance for organisations transitioning from linear to circular business models. Contains no operational templates for circular procurement criteria, reuse component tendering, or supply-chain validation.",Standard too generic,High
5.2,GAP 5 ,Circularity in procurement & value chains,"EPD standard does not address EPDs for secondary or reclaimed materials, nor specify how recycled content and circular value flows are disclosed. BAM's SLAMD CO?-savings results have no standard EPD format.",Missing standard,High
5.3,GAP 5 ,Circularity in procurement & value chains,Links EPD data to BIM workflows. Applicable only to virgin products with existing EPDs. No template or mechanism for reclaimed component sustainability declarations within BIM. REINCARNATE CO?-savings data lacks a standard BIM property set.,Lack of data structure,Medium
5.4,GAP 5 ,Circularity in procurement & value chains,Establishes sustainability indicators for civil engineering works. Does not address circularity-specific indicators or reuse performance. Relevant to VIAS demo site.,Standard too generic,Low
5.5,GAP 5,Circularity in procurement & value chains,Reviews characteristics of CE value networks. Not normative. Relevant as background for REINCARNATE's D5.2 value chain analysis. REINCARNATE data could enrich this TR.,Standard too generic,Low
6.1,GAP 6,Product re-certification & re-approval,"No standard defines a re-certification or re-approval schema for construction products and components after removal from a building. In Germany (and likely Europe-wide), product approval (Zulassung) lapses at installation AND at removal. No standardised process for Second Life assessment of building components exists.",Missing standard,High
7.1,GAP 7 ,Ownership & liability of secondary materials,"No standard addresses ownership transfer, liability, warranty, or guarantee frameworks for secondary/reclaimed construction materials or components crossing organisational boundaries. Directly impedes market-scale reuse: actors cannot define contractual responsibilities without a normative reference. CP-IM records ownership and component history but has no normative liability framework to reference.",Missing standard,High
8.1,GAP 8 ,National & sectoral: deconstruction and CDW,"ÖNORM B 3151 (ASI) specifies selective deconstruction, mono-material separation, and hazardous substance identification — directly relevant to REINCARNATE's pre-demolition inventory and CDW traceability goals. DIN 18007:2022 provides German equivalent. Neither is a European standard; no CEN counterpart exists. Gap: no EN-level standard for selective deconstruction method with reuse-optimised separation requirements. REINCARNATE results (robotic deconstruction, HUST material codes, demo-site protocols) could support NWIP for EN-level standard.",National standard — no EN-level counterpart,Medium
8.2,GAP 8  ,National & sectoral: deconstruction and CDW,EN 206 and EN 12620 include recycled aggregate provisions but with density limits and quality caveats. Expert 4 (VIAS) notes 'always have a limit'; continuous updating needed. prEN 197-6 (cement with recycled materials) under approval — new CEN standard. Gap: no comprehensive high-quality recycled aggregate certification pathway that integrates with REINCARNATE CP-IM provenance data.,Standard scope insufficient for high-quality reuse pathway,Medium
